Namesake,Original,Namesake Coordinates,Original Coordinates
"Ayr, Michigan","Ayr, Ontario, Canada","(45.4922328, -84.8533826)","(43.2855122, -80.4507012)"
"Beaverton, Michigan","Beaverton, Ontario, Canada","(43.882247, -84.484732)","(44.4296227, -79.1550193)"
"Belleville, Wisconsin","Belleville, Ontario, Canada","(42.8595048, -89.5333388)","(44.1633264, -77.3852556)"
"Brampton, North Dakota","Brampton, Ontario, Canada","(45.9946886, -97.7762126)","(43.685832, -79.7599366)"
"Brantford, North Dakota","Brantford, Ontario, Canada","(47.5977748, -98.922887)","(43.1408157, -80.2631733)"
"Kalgary, Texas","Calgary, Alberta, Canada","(33.4089784, -101.1484729)","(51.0456064, -114.057541)"
"Chatham, Michigan","Chatham-Kent, Ontario, Canada","(46.347723, -86.929038)","(42.41833, -82.0898417)"
"Coburg, Indiana","Cobourg, Ontario, Canada","(41.5189293, -86.9494724)","(43.9595998, -78.1677784)"
"Conway, North Dakota","Conway, Ontario, Canada","(48.2348301, -97.6747127)","(44.1112295, -76.9176349)"
"Devizes, Kansas","Devizes, Ontario, Canada","(39.9911169, -100.0573529)","(43.1691496, -81.2275846)"
"Dundas, Minnesota","Dundas, Ontario, Canada","(44.4294359, -93.2020856)","(43.2661904, -79.9546341)"
"Fenwick, Michigan","Fenwick, Ontario, Canada","(43.1491988, -85.0802908)","(43.0248374, -79.3610045)"
"Fingal, North Dakota","Fingal, Ontario, Canada","(46.760533, -97.790382)","(42.7127488, -81.3109968)"
"Galt, California","Galt, Ontario, Canada","(38.2546373, -121.2999485)","(43.3589869, -80.3152471)"
"Gentilly Township, Minnesota","Gentilly, Quebec, Canada",,"(46.4026464, -72.2743234)"
"Glenburn, North Dakota","Glenburn, Ontario, Canada","(48.513074, -101.220714)","(45.4850697, -75.0808327)"
"Glengary, Idaho","South Glengarry, Ontario, Canada","(48.2195042, -116.370369)","(45.1869835, -74.55400590796428)"
"Guelph, North Dakota","Guelph, Ontario, Canada","(46.0227498, -98.2359354)","(43.5460516, -80.2493276)"
"Halifax, Missouri","Halifax, Nova Scotia, Canada","(38.0119968, -90.4898474)","(44.648618, -63.5859487)"
"Hamilton, North Dakota","Hamilton, Ontario, Canada","(48.8086008, -97.4528587)","(43.2560802, -79.8728583)"
"Hatley, Wisconsin","Hatley, Quebec, Canada","(44.8874704, -89.3387272)","(45.185909, -71.93676)"
"Hemingford, Nebraska","Hemmingford, Quebec, Canada","(42.3215777, -103.0728713)","(45.0483404, -73.58562753582805)"
"Holyrood, Kansas","Holyrood, Ontario, Canada","(38.5869549, -98.4111777)","(44.0267281, -81.4669973)"
"Inglewood, California","Inglewood, Ontario, Canada","(33.9562003, -118.353132)","(43.7964281, -79.9334822)"
"Joliette, North Dakota","Joliette, Quebec, Canada","(48.8180421, -97.2275695)","(46.0239798, -73.4419936)"
"Kenmore, Washington","Kenmore, Ontario, Canada","(47.7596715, -122.2496367)","(45.2278903, -75.4145305)"
"Keswick, Michigan","Keswick Ridge, New Brunswick, Canada","(44.929012, -85.6536815)","(45.9995877, -66.8994017)"
"Kingston, Wisconsin","Kingston, Ontario, Canada","(43.6955372, -89.1276148)","(44.230687, -76.481323)"
"Kinloss Township, Walsh County, North Dakota","Kinloss, Ontario[38], Canada",,"(43.982519659999994, -81.55874945142857)"
"Lindsay, Nebraska","Lindsay, Ontario, Canada","(41.6986334, -97.6936685)","(44.3551266, -78.7369939)"
"Minto, North Dakota","Minto, Ontario, Canada","(48.2916547, -97.3714652)","(43.8341324, -80.8476838)"
"Monkton, Maryland","Moncton, New Brunswick, Canada","(39.5787164, -76.6155252)","(46.097995, -64.80011)"
"Montreal, Missouri","Montreal, Quebec, Canada","(37.9689254, -92.5921247)","(45.5031824, -73.5698065)"
"Naponee, Nebraska","Napanee, Ontario, Canada","(40.0765541, -99.1405226)","(44.2473883, -76.9505543)"
"Omemee, North Dakota","Omemee, Ontario, Canada","(48.7063905, -100.3551371)","(44.2992653, -78.5585004)"
"Ontario, California","Ontario, Canada, Canada","(34.065846, -117.6484304)","(48.6102682, -93.3792977)"
"Orillia, Washington","Orillia, Ontario, Canada","(47.4421637, -122.2443362)","(44.6066135, -79.4169256)"
"Oshawa, Minnesota","Oshawa, Ontario, Canada","(44.3002442, -94.1052397)","(43.8975558, -78.8635324)"
"Osnabrock, North Dakota","Osnabruck, Ontario, Canada","(48.6688857, -98.1512186)","(45.0449052, -75.01922074948953)"
"Perth, North Dakota","Perth, Ontario, Canada","(48.7163932, -99.4579209)","(43.4935991, -81.0164111)"
"Pictou, Colorado","Pictou, Nova Scotia, Canada","(37.6386233, -104.813599)","(45.5855373, -62.7283219)"
"Quebec, Montana","Quebec City, Quebec, Canada","(45.7266047, -109.6593461)","(46.8137431, -71.2084061)"
"Regina, New Mexico","Regina, Saskatchewan, Canada","(36.194402, -106.946216457784)","(50.44876, -104.61731)"
"Saint John, North Dakota","Saint-Jean-sur-Richelieu, Quebec, Canada","(48.9444517, -99.7109743)","(45.3056879, -73.2533401)"
"St. Thomas, North Dakota","St. Thomas, Ontario, Canada","(48.619156, -97.4464703)","(42.779022, -81.1929882)"
"Sarnia, North Dakota","Sarnia, Ontario, Canada","(48.1520366, -98.0844945)","(42.9743821, -82.403533)"
"Sherbrooke, North Dakota","Sherbrooke, Quebec, Canada","(47.4608222, -97.7195368)","(45.403271, -71.889038)"
"Sidney, North Dakota","Sydney, Nova Scotia, Canada","(47.296823, -101.030063)","(46.137977, -60.194092)"
"Simcoe, North Dakota","Simcoe, Ontario, Canada","(48.1563981, -100.8668134)","(44.5014007, -79.7038708)"
"Strabane, North Dakota","Strabane, Ontario[46], Canada",,"(44.4002244, -79.670021)"
"Terrebonne Township, Minnesota","Terrebonne, Quebec, Canada",,"(45.7081005, -73.6515157)"
"Thedford, Nebraska","Thedford, Ontario, Canada","(41.9775427, -100.5741974)","(43.1639393, -81.8529319)"
"Toronto, Kansas","Toronto, Ontario, Canada","(37.7989253, -95.9491562)","(43.6534817, -79.3839347)"
"Toronto, Ohio","Toronto, Ontario, Canada","(40.4653962, -80.6009547)","(43.6534817, -79.3839347)"
"Truro Township, Ohio","Truro, Nova Scotia, Canada","(39.9552092, -82.80698629650246)","(45.366668, -63.300006)"
"Uxbridge, North Dakota","Uxbridge, Ontario, Canada",,"(44.1088502, -79.1226768)"
"Watford City, North Dakota","Watford, Ontario, Canada","(47.802241, -103.283247)","(42.9480988, -81.8802713)"
"Windsor, North Dakota","Windsor, Ontario, Canada","(46.8963763, -99.0428884)","(42.3167397, -83.0373389)"
"Valparaiso, Indiana","Valparaíso, Chile","(41.4672552, -87.0604487)","(-33.0458456, -71.6196749)"
"Pekin, Illinois","Beijing, China","(40.5687911, -89.6501621)","(39.9057136, 116.3912972)"
"New Pekin, Indiana","Beijing, China","(38.5050598, -86.0169186)","(39.9057136, 116.3912972)"
"Canton, Georgia","Guangzhou, China","(34.2367621, -84.4907621)","(23.1301964, 113.2592945)"
"Canton, New York","Guangzhou, China","(44.5956163, -75.1690942)","(23.1301964, 113.2592945)"
"Canton, Ohio","Guangzhou, China","(40.7985464, -81.3749508)","(23.1301964, 113.2592945)"
"Canton, Massachusetts","Guangzhou, China","(42.1584324, -71.1447732)","(23.1301964, 113.2592945)"
"Canton, Michigan","Guangzhou, China","(42.7269261, -84.6433146)","(23.1301964, 113.2592945)"
